Subfolder,Child Folder,Longest delay (ns),Longest path,Total logic gates,Total delay
10_half_adder,,,,,
,0,6,0 -> OUT,6,6
,10,6,0 -> OUT,6,6
,11,6,0 -> OUT,6,6
,12,6,0 -> OUT,6,6
,13,6,0 -> OUT,6,6
,14,6,0 -> OUT,6,6
,15,6,0 -> OUT,6,6
,16,6,0 -> OUT,6,6
,19,6,0 -> OUT,6,6
,2,6,0 -> OUT,6,6
,20,6,0 -> OUT,6,6
,21,6,0 -> OUT,6,6
,22,6,0 -> OUT,6,6
,23,6,0 -> OUT,6,6
,24,6,0 -> OUT,6,6
,3,6,0 -> OUT,6,6
,4,6,0 -> OUT,6,6
,6,6,0 -> 2 -> 4 -> OUT,6,6
,8,6,0 -> OUT,6,6
,9,6,0 -> OUT,6,6
,,,,,
11_full_adder,,,,,
,0,12,0 -> 1 -> OUT,13,12
,1,12,0 -> 1 -> OUT,15,12
,10,12,0 -> 2 -> OUT,15,12
,11,12,0 -> 2 -> OUT,13,12
,12,12,0 -> 1 -> OUT,15,12
,13,12,0 -> 1 -> OUT,13,12
,14,12,0 -> 1 -> OUT,15,12
,17,12,0 -> 1 -> OUT,15,12
,2,12,0 -> 1 -> OUT,13,12
,22,12,0 -> 1 -> OUT,13,12
,23,12,0 -> 1 -> OUT,13,12
,24,12,0 -> 1 -> OUT,13,12
,3,12,0 -> 1 -> OUT,13,12
,5,12,0 -> 1 -> OUT,13,12
,6,12,0 -> 1 -> OUT,13,12
,7,12,0 -> 1 -> OUT,13,12
,8,12,0 -> 1 -> OUT,15,12
,9,12,0 -> 1 -> OUT,13,12
,,,,,
12_odd_change,,,,,
,10,0,OUT,16,0
,11,0,OUT,18,0
,12,0,OUT,20,0
,13,2,0 -> OUT,16,2
,16,0,OUT,20,0
,17,4,4 -> 1 -> OUT,8,4
,19,0,OUT,19,0
,2,0,OUT,21,0
,20,0,OUT,15,0
,21,0,OUT,19,0
,5,4,5 -> 3 -> OUT,13,4
,6,0,OUT,18,0
,7,0,OUT,16,0
,8,4,7 -> 1 -> OUT,19,4
,,,,,
13_inverter_1bit,,,,,
,1,6,0 -> OUT,5,6
,10,6,0 -> 2 -> 4 -> OUT,5,6
,11,6,1 -> 3 -> 4 -> OUT,5,6
,12,6,0 -> 2 -> 4 -> OUT,5,6
,14,6,1 -> 2 -> 4 -> OUT,5,6
,15,6,1 -> 2 -> 4 -> OUT,5,6
,16,6,1 -> 2 -> 4 -> OUT,5,6
,17,6,1 -> 2 -> 4 -> OUT,5,6
,18,6,1 -> 2 -> 4 -> OUT,5,6
,19,6,0 -> 2 -> 4 -> OUT,5,6
,20,6,0 -> OUT,5,6
,21,6,0 -> 2 -> 4 -> OUT,5,6
,22,8,2 -> 3 -> OUT,8,8
,3,6,0 -> 3 -> 4 -> OUT,5,6
,4,6,0 -> 2 -> 4 -> OUT,5,6
,6,6,1 -> 3 -> 4 -> OUT,5,6
,7,6,0 -> 3 -> 4 -> OUT,5,6
,8,6,0 -> 2 -> 4 -> OUT,5,6
,9,6,0 -> 2 -> 4 -> OUT,5,6
,,,,,
14_or_8bit,,,,,
,1,2,0 -> OUT,8,2
,10,2,1 -> OUT,8,2
,12,2,4 -> OUT,8,2
,14,2,2 -> OUT,8,2
,15,2,7 -> OUT,8,2
,16,2,6 -> OUT,8,2
,18,2,3 -> OUT,8,2
,19,2,3 -> OUT,8,2
,2,2,5 -> OUT,8,2
,20,2,0 -> OUT,8,2
,21,2,3 -> OUT,8,2
,22,2,6 -> OUT,8,2
,23,2,3 -> OUT,8,2
,24,2,1 -> OUT,8,2
,3,2,0 -> OUT,8,2
,5,2,3 -> OUT,8,2
,6,2,4 -> OUT,8,2
,7,2,3 -> OUT,8,2
,8,2,2 -> OUT,8,2
,9,2,1 -> OUT,8,2
,,,,,
15_not_8bit,,,,,
,0,2,2 -> OUT,8,2
,10,2,5 -> OUT,8,2
,12,2,7 -> OUT,8,2
,13,2,1 -> OUT,8,2
,14,2,6 -> OUT,8,2
,16,2,3 -> OUT,8,2
,17,2,6 -> OUT,8,2
,18,2,6 -> OUT,8,2
,19,2,4 -> OUT,8,2
,20,2,2 -> OUT,8,2
,21,2,2 -> OUT,8,2
,22,2,6 -> OUT,8,2
,23,2,7 -> OUT,8,2
,24,2,3 -> OUT,8,2
,4,2,3 -> OUT,8,2
,5,2,6 -> OUT,8,2
,6,2,0 -> OUT,8,2
,7,2,7 -> OUT,8,2
,8,2,2 -> OUT,8,2
,9,2,6 -> OUT,8,2
,,,,,
16_adder_8bit,,,,,
,10,12,4 -> 0 -> OUT,13,12
,15,12,0 -> 1 -> OUT,13,12
,16,12,0 -> 1 -> OUT,15,12
,23,48,2 -> 4 -> 6 -> 10 -> 11 -> 13 -> 17 -> 18 -> 20 -> 24 -> 25 -> 27 -> 31 -> 32 -> 34 -> 38 -> 39 -> 41 -> 45 -> 46 -> 48 -> 50 -> OUT,120,48
,4,12,4 -> 0 -> OUT,13,12
,6,12,0 -> 1 -> OUT,13,12
,,,,,
17_mux_8bit,,,,,
,1,6,0 -> 8 -> 24 -> OUT,25,6
,10,6,0 -> 21 -> 7 -> OUT,25,6
,11,6,0 -> 7 -> 23 -> OUT,25,6
,12,6,0 -> 19 -> 21 -> OUT,25,6
,14,6,0 -> 22 -> 24 -> OUT,25,6
,15,6,0 -> 1 -> 3 -> OUT,25,6
,16,6,0 -> 7 -> 23 -> OUT,25,6
,18,6,0 -> 10 -> 12 -> OUT,25,6
,2,6,0 -> 1 -> 17 -> OUT,25,6
,20,6,0 -> 9 -> 21 -> OUT,25,6
,22,6,0 -> 11 -> 17 -> OUT,18,6
,23,6,0 -> 1 -> 17 -> OUT,25,6
,24,6,0 -> 21 -> 7 -> OUT,25,6
,3,6,0 -> 13 -> 15 -> OUT,25,6
,4,6,0 -> 1 -> 3 -> OUT,25,6
,5,6,0 -> 14 -> 23 -> OUT,25,6
,6,6,0 -> 7 -> 9 -> OUT,25,6
,7,6,0 -> 7 -> 9 -> OUT,25,6
,8,6,0 -> 4 -> 6 -> OUT,25,6
,9,6,0 -> 22 -> 24 -> OUT,25,6
,,,,,
18_opposite_number,,,,,
,1,20,0 -> 9 -> 11 -> 13 -> 15 -> 17 -> 19 -> 20 -> OUT,49,20
,11,58,1 -> 8 -> 10 -> 11 -> 13 -> 15 -> 16 -> 18 -> 20 -> 21 -> 23 -> 25 -> 26 -> 28 -> 30 -> 31 -> 33 -> OUT,78,58
,13,0,OUT,54,0
,15,22,1 -> 15 -> 16 -> 17 -> 18 -> 19 -> 20 -> 21 -> 14 -> OUT,50,22
,16,14,5 -> 31 -> 33 -> OUT,106,14
,17,46,0 -> 7 -> 8 -> 9 -> 10 -> 11 -> 12 -> 13 -> 14 -> OUT,43,46
,19,2,6 -> OUT,15,2
,2,20,0 -> 9 -> 11 -> 13 -> 15 -> 17 -> 19 -> 20 -> OUT,49,20
,6,24,5 -> 44 -> 19 -> 46 -> 29 -> 48 -> 38 -> 42 -> OUT,102,24
,7,8,4 -> 11 -> OUT,42,8
,8,0,OUT,57,0
,9,0,OUT,0,0
,,,,,
19_elegant_storage,,,,,
,0,4,0 -> 7 -> OUT,23,4
,12,6,19 -> 5 -> 20 -> OUT,40,6
,24,6,0 -> 10 -> 17 -> OUT,33,6
,,,,,
1_not_gate,,,,,
,0,2,0 -> OUT,1,2
,10,2,0 -> OUT,1,2
,11,2,0 -> OUT,1,2
,12,2,0 -> OUT,1,2
,13,2,0 -> OUT,1,2
,16,2,0 -> OUT,1,2
,2,,,,
,21,2,0 -> OUT,1,2
,22,2,0 -> OUT,1,2
,23,2,0 -> OUT,1,2
,24,,,,
,26,2,0 -> OUT,1,2
,3,2,0 -> OUT,1,2
,4,,,,
,5,2,0 -> OUT,1,2
,6,2,0 -> OUT,1,2
,8,2,0 -> OUT,1,2
,,,,,
20_store_byte,,,,,
,22,6,18 -> 31 -> 28 -> OUT,50,6
,,,,,
21_decoder_1bit,,,,,
,0,0,OUT,0,0
,1,2,0 -> OUT,1,2
,10,2,0 -> OUT,1,2
,13,2,0 -> OUT,1,2
,14,2,0 -> OUT,1,2
,15,2,0 -> OUT,1,2
,16,2,0 -> OUT,1,2
,18,2,0 -> OUT,1,2
,19,2,0 -> OUT,1,2
,2,2,0 -> OUT,1,2
,20,2,0 -> OUT,1,2
,21,0,OUT,0,0
,22,2,0 -> OUT,1,2
,24,2,0 -> OUT,1,2
,3,2,0 -> OUT,1,2
,4,2,0 -> OUT,1,2
,5,2,0 -> OUT,1,2
,6,2,0 -> OUT,1,2
,7,2,0 -> OUT,1,2
,9,2,0 -> OUT,1,2
,,,,,
22_decoder_3bit,,,,,
,0,6,1 -> 14 -> 13 -> OUT,15,6
,10,6,2 -> 6 -> 7 -> OUT,15,6
,11,6,1 -> 8 -> 9 -> OUT,15,6
,12,6,0 -> 15 -> 14 -> OUT,16,6
,13,6,1 -> 8 -> 9 -> OUT,15,6
,14,6,1 -> 8 -> 9 -> OUT,15,6
,16,6,0 -> 5 -> 6 -> OUT,15,6
,17,6,0 -> 11 -> 12 -> OUT,15,6
,18,6,1 -> 8 -> 9 -> OUT,15,6
,19,6,1 -> 9 -> 10 -> OUT,15,6
,2,6,1 -> 8 -> 9 -> OUT,15,6
,20,6,2 -> 4 -> 5 -> OUT,15,6
,23,6,0 -> 14 -> 3 -> OUT,15,6
,3,6,1 -> 8 -> 9 -> OUT,15,6
,5,6,1 -> 8 -> 9 -> OUT,15,6
,6,6,2 -> 5 -> 6 -> OUT,15,6
,7,6,1 -> 8 -> 7 -> OUT,15,6
,8,6,1 -> 8 -> 9 -> OUT,15,6
,9,6,0 -> 5 -> 6 -> OUT,15,6
,,,,,
23_logic_engine,,,,,
,1,12,1 -> 18 -> 87 -> 89 -> 91 -> 93 -> OUT,86,12
,10,14,27 -> 5 -> 13 -> OUT,107,14
,11,8,9 -> 23 -> 27 -> 10 -> OUT,19,8
,13,12,0 -> 52 -> 53 -> 55 -> 56 -> 57 -> OUT,58,12
,2,12,17 -> 84 -> 35 -> 36 -> 38 -> 40 -> OUT,86,12
,21,18,9 -> 5 -> 6 -> 7 -> OUT,21,18
,22,12,16 -> 63 -> 56 -> 57 -> 59 -> 61 -> OUT,86,12
,24,12,1 -> 18 -> 80 -> 82 -> 84 -> 86 -> OUT,86,12
,4,12,0 -> 19 -> 67 -> 68 -> 70 -> 72 -> OUT,86,12
,7,12,21 -> 47 -> 48 -> 53 -> 54 -> 55 -> OUT,114,12
,8,20,40 -> 53 -> 28 -> 29 -> 30 -> 31 -> OUT,126,20
,,,,,
25_counter,,,,,
,14,10,46 -> 22 -> OUT,156,10
,15,18,34 -> 36 -> 37 -> 0 -> 7 -> 73 -> 32 -> 75 -> 76 -> OUT,92,18
,27,0,OUT,15,0
,4,2,0 -> OUT,81,2
,,,,,
27_instruction_decoder,,,,,
,0,4,0 -> 3 -> OUT,6,4
,10,4,0 -> 3 -> OUT,6,4
,11,4,0 -> 3 -> OUT,6,4
,12,4,1 -> 5 -> OUT,6,4
,13,4,0 -> 3 -> OUT,6,4
,14,4,0 -> 3 -> OUT,6,4
,15,4,0 -> 2 -> OUT,6,4
,16,6,0 -> 3 -> 1 -> OUT,6,6
,17,4,1 -> 4 -> OUT,6,4
,19,4,1 -> 4 -> OUT,6,4
,20,4,1 -> 4 -> OUT,6,4
,21,4,1 -> 2 -> OUT,6,4
,22,8,1 -> 7 -> 5 -> 6 -> OUT,10,8
,3,4,1 -> 4 -> OUT,6,4
,4,4,0 -> 3 -> OUT,6,4
,5,4,0 -> 3 -> OUT,6,4
,6,4,1 -> 4 -> OUT,6,4
,7,4,1 -> 4 -> OUT,6,4
,8,4,0 -> 3 -> OUT,6,4
,9,4,0 -> 3 -> OUT,6,4
,,,,,
28_conditional_checker,,,,,
,12,4,0 -> 1 -> OUT,2,4
,18,22,11 -> 12 -> 14 -> 15 -> 8 -> 3 -> 4 -> 16 -> OUT,39,22
,20,28,0 -> 12 -> 13 -> 14 -> 15 -> 16 -> 17 -> 18 -> 11 -> 37 -> 38 -> 40 -> 42 -> 44 -> OUT,45,28
,22,0,OUT,0,0
,7,28,5 -> 6 -> 7 -> 8 -> 9 -> 10 -> 11 -> 25 -> 31 -> 32 -> 33 -> 34 -> 35 -> 36 -> OUT,37,28
,8,24,2 -> 5 -> 6 -> 7 -> 13 -> 26 -> 31 -> 32 -> 33 -> 34 -> 35 -> 36 -> OUT,37,24
,,,,,
2_second_tick,,,,,
,0,4,0 -> 1 -> OUT,2,4
,1,4,0 -> 1 -> OUT,2,4
,10,4,0 -> 1 -> OUT,2,4
,11,4,0 -> 1 -> OUT,2,4
,12,4,0 -> 1 -> OUT,2,4
,13,4,0 -> 1 -> OUT,2,4
,14,4,0 -> 1 -> OUT,2,4
,15,4,0 -> 1 -> OUT,2,4
,17,4,0 -> 1 -> OUT,2,4
,18,4,0 -> 1 -> OUT,2,4
,19,4,0 -> 1 -> OUT,2,4
,2,4,0 -> 1 -> OUT,2,4
,20,4,0 -> 1 -> OUT,2,4
,21,4,0 -> 1 -> OUT,2,4
,23,4,0 -> 1 -> OUT,2,4
,24,4,0 -> 1 -> OUT,2,4
,3,,,,
,4,4,0 -> 1 -> OUT,2,4
,5,4,0 -> 1 -> OUT,2,4
,9,4,0 -> 1 -> OUT,2,4
,,,,,
3_xor_gate,,,,,
,0,6,0 -> 3 -> 4 -> OUT,5,6
,1,6,1 -> 2 -> 4 -> OUT,5,6
,10,6,0 -> 3 -> 4 -> OUT,5,6
,11,6,0 -> 3 -> 4 -> OUT,5,6
,13,6,1 -> 2 -> 4 -> OUT,5,6
,14,6,1 -> 2 -> 4 -> OUT,5,6
,15,6,0 -> OUT,5,6
,17,6,0 -> 3 -> 4 -> OUT,5,6
,18,6,0 -> OUT,5,6
,2,6,1 -> 2 -> 4 -> OUT,5,6
,20,6,1 -> 2 -> 4 -> OUT,5,6
,21,6,0 -> OUT,5,6
,23,6,1 -> 2 -> 4 -> OUT,5,6
,24,6,0 -> 3 -> 4 -> OUT,5,6
,3,6,1 -> 2 -> 4 -> OUT,5,6
,4,6,1 -> 2 -> 4 -> OUT,5,6
,5,6,0 -> 3 -> 4 -> OUT,5,6
,6,6,0 -> 3 -> 4 -> OUT,5,6
,7,6,0 -> 3 -> 4 -> OUT,5,6
,9,6,1 -> 2 -> 4 -> OUT,5,6
,,,,,
4_or3_gate,,,,,
,0,4,0 -> 1 -> OUT,2,4
,1,4,0 -> 1 -> OUT,2,4
,10,4,0 -> 1 -> OUT,2,4
,12,4,0 -> 1 -> OUT,2,4
,14,4,0 -> 1 -> OUT,2,4
,15,4,0 -> 1 -> OUT,2,4
,16,,,,
,19,4,0 -> 1 -> OUT,2,4
,2,4,0 -> 1 -> OUT,2,4
,20,4,0 -> 1 -> OUT,2,4
,21,4,0 -> 1 -> OUT,2,4
,22,4,0 -> 1 -> OUT,2,4
,23,4,0 -> 1 -> OUT,2,4
,24,4,0 -> 1 -> OUT,2,4
,4,4,0 -> 1 -> OUT,2,4
,5,6,1 -> 4 -> 5 -> OUT,5,6
,6,4,0 -> 1 -> OUT,2,4
,7,4,0 -> 1 -> OUT,2,4
,8,4,0 -> 1 -> OUT,2,4
,9,4,1 -> 2 -> OUT,3,4
,,,,,
5_and3_gate,,,,,
,10,4,0 -> 1 -> OUT,2,4
,11,4,0 -> 1 -> OUT,2,4
,12,4,0 -> 1 -> OUT,2,4
,13,4,0 -> 1 -> OUT,2,4
,14,4,0 -> 1 -> OUT,2,4
,16,4,0 -> 1 -> OUT,2,4
,17,4,0 -> 1 -> OUT,2,4
,18,4,0 -> 1 -> OUT,2,4
,19,4,0 -> 1 -> OUT,2,4
,20,4,0 -> 1 -> OUT,2,4
,21,4,0 -> 1 -> OUT,2,4
,23,4,0 -> 1 -> OUT,2,4
,24,4,0 -> 1 -> OUT,2,4
,3,4,0 -> 1 -> OUT,2,4
,4,4,0 -> 1 -> OUT,2,4
,5,4,0 -> 1 -> OUT,2,4
,6,4,0 -> 1 -> OUT,2,4
,7,4,0 -> 1 -> OUT,2,4
,8,4,0 -> 1 -> OUT,2,4
,9,4,0 -> 1 -> OUT,2,4
,,,,,
6_xnor_gate,,,,,
,0,6,0 -> 3 -> 4 -> OUT,5,6
,1,6,1 -> 3 -> 4 -> OUT,5,6
,10,6,1 -> 3 -> 4 -> OUT,5,6
,11,6,0 -> 3 -> 4 -> OUT,5,6
,12,6,0 -> 3 -> 4 -> OUT,5,6
,13,8,1 -> 0 -> OUT,6,8
,14,6,1 -> 3 -> 4 -> OUT,5,6
,16,8,1 -> 3 -> 5 -> 0 -> OUT,6,8
,17,8,1 -> 0 -> OUT,6,8
,18,8,1 -> 0 -> OUT,6,8
,19,6,0 -> 3 -> 4 -> OUT,5,6
,2,6,1 -> 3 -> 4 -> OUT,5,6
,21,6,1 -> 3 -> 4 -> OUT,5,6
,23,8,1 -> 0 -> OUT,6,8
,24,6,1 -> 3 -> 4 -> OUT,5,6
,4,6,1 -> 3 -> 4 -> OUT,5,6
,5,8,1 -> 3 -> 5 -> 2 -> OUT,6,8
,6,8,1 -> 0 -> OUT,6,8
,8,6,0 -> 3 -> 4 -> OUT,5,6
,9,8,1 -> 3 -> 5 -> 2 -> OUT,6,8
,,,,,
7_double_trouble,,,,,
,0,22,4 -> 11 -> 12 -> 13 -> 14 -> 15 -> 16 -> 17 -> 18 -> 19 -> 20 -> OUT,21,22
,1,14,2 -> 8 -> 11 -> 12 -> 17 -> 18 -> 19 -> OUT,21,14
,10,8,3 -> 8 -> 9 -> 10 -> OUT,11,8
,11,14,0 -> 11 -> 12 -> 13 -> 14 -> 15 -> 20 -> OUT,21,14
,12,12,1 -> 6 -> 7 -> 8 -> 9 -> 10 -> OUT,11,12
,15,8,3 -> 8 -> 9 -> 10 -> OUT,11,8
,17,12,0 -> 6 -> 7 -> 8 -> 9 -> 10 -> OUT,11,12
,18,12,0 -> 6 -> 7 -> 8 -> 9 -> 10 -> OUT,11,12
,19,14,20 -> 5 -> 15 -> 16 -> 17 -> 18 -> 19 -> OUT,21,14
,20,12,0 -> 6 -> 7 -> 8 -> 9 -> 10 -> OUT,11,12
,21,22,0 -> 11 -> 12 -> 13 -> 14 -> 15 -> 16 -> 17 -> 18 -> 19 -> 20 -> OUT,21,22
,22,20,17 -> 7 -> 8 -> 9 -> 10 -> 11 -> 12 -> 13 -> 14 -> 15 -> OUT,19,20
,23,8,3 -> 8 -> 9 -> 10 -> OUT,11,8
,3,10,4 -> 11 -> 1 -> 2 -> 3 -> OUT,12,10
,4,16,0 -> 10 -> 11 -> 12 -> 13 -> 14 -> 18 -> 19 -> OUT,21,16
,6,12,1 -> 6 -> 7 -> 8 -> 9 -> 10 -> OUT,11,12
,8,8,3 -> 8 -> 9 -> 10 -> OUT,11,8
